epoch,accuracy,loss,val_accuracy,val_loss
0,0.00019999999494757503,0.05424494668841362,NA,NA
1,0.0003000000142492354,0.04380049556493759,NA,NA
2,0.00019999999494757503,0.04385963827371597,NA,NA
3,0.0003000000142492354,0.04376617446541786,NA,NA
4,0.0003000000142492354,0.04383052513003349,NA,NA
5,0.0003000000142492354,0.04378538951277733,NA,NA
6,0.0003000000142492354,0.043776027858257294,NA,NA
7,0.0003000000142492354,0.043728701770305634,NA,NA
8,0.0003000000142492354,0.043827202171087265,NA,NA
9,0.00019999999494757503,0.04386451467871666,NA,NA
